Test,Subtest,Subtest Condition,Item number,Item type,Item,Item Response,Item score
fMRI spoken narrative paradigm: 1st admin,NA,NA,1,NA,Albert hated war.,yes,1
fMRI spoken narrative paradigm: 1st admin,NA,NA,2,NA,"Albert was a loud, noisy child.",yes,0
fMRI spoken narrative paradigm: 1st admin,NA,NA,3,NA,"Albert's parents took him to doctors, because they were worried about him.",yes,1
fMRI spoken narrative paradigm: 1st admin,NA,NA,4,NA,Albert was fascinated by electricity.,no,0
fMRI spoken narrative paradigm: 1st admin,NA,NA,5,NA,Albert was an early talker.,no,1
fMRI spoken narrative paradigm: 1st admin,NA,NA,6,NA,Albert's dad and uncle had a farming business.,yes,0
fMRI written narrative paradigm: 1st admin,NA,NA,1,NA,Edison's family called him Al.,yes,1
fMRI written narrative paradigm: 1st admin,NA,NA,2,NA,Edison's sister lived on a farm.,yes,1
fMRI written narrative paradigm: 1st admin,NA,NA,3,NA,Edison was the oldest child in his family.,no,1
fMRI written narrative paradigm: 1st admin,NA,NA,4,NA,Edison lived a long life.,yes,1
fMRI written narrative paradigm: 1st admin,NA,NA,5,NA,Music records were around when Edison was a child.,yes,1
fMRI written narrative paradigm: 1st admin,NA,NA,6,NA,Edison was considered the greatest inventor of his time,yes,1
fMRI slow spoken narrative paradigm,NA,NA,1,NA,The Beatles were called the Mop Tops.,yes,1
fMRI slow spoken narrative paradigm,NA,NA,2,NA,The Beatles wore suit jackets with collars.,yes,0
fMRI slow spoken narrative paradigm,NA,NA,3,NA,The Beatles were from London.,yes,0
fMRI slow spoken narrative paradigm,NA,NA,4,NA,The Beatles were popular in the US.,yes,1
fMRI slow spoken narrative paradigm,NA,NA,5,NA,The US newspapers called the Beatles the English Invasion.,yes,0
fMRI slow spoken narrative paradigm,NA,NA,6,NA,The Beatles released 13 albums.,yes,1
fMRI slow written narrative paradigm,NA,NA,1,NA,Shakespeare was only famous in English-speaking countries.,no,1
fMRI slow written narrative paradigm,NA,NA,2,NA,Shakespeare's plays have been made into movies.,yes,1
fMRI slow written narrative paradigm,NA,NA,3,NA,Shakespeare invented several words.,yes,1
fMRI slow written narrative paradigm,NA,NA,4,NA,Shakespeare's father was a carpenter.,no,1
fMRI slow written narrative paradigm,NA,NA,5,NA,Shakespeare built theaters.,yes,1
fMRI slow written narrative paradigm,NA,NA,6,NA,Much is known about Shakespeare's day-to-day life.,no,1
fMRI spoken narrative paradigm: 2nd admin,NA,NA,1,NA,Ameilia Earhart became a pilot in the 1920s.,yes,1
fMRI spoken narrative paradigm: 2nd admin,NA,NA,2,NA,Amelia Earhart was also a fashion designer.,no,0
fMRI spoken narrative paradigm: 2nd admin,NA,NA,3,NA,Amelia Earhart died at a young age.,yes,1
fMRI spoken narrative paradigm: 2nd admin,NA,NA,4,NA,Amelia Earhart's plane crashed in the Atlantic Ocean.,yes,0
fMRI spoken narrative paradigm: 2nd admin,NA,NA,5,NA,Amelia Earhart was from Iowa.,no,1
fMRI spoken narrative paradigm: 2nd admin,NA,NA,6,NA,Amelia Earhart's father had financial troubles.,no,0
WAIS,Digit Span,Forward,1,NA,NA,NA,2
WAIS,Digit Span,Forward,2,NA,NA,NA,2
WAIS,Digit Span,Forward,3,NA,NA,NA,2
WAIS,Digit Span,Forward,4,NA,NA,NA,1
WAIS,Digit Span,Forward,5,NA,NA,NA,2
WAIS,Digit Span,Forward,6,NA,NA,NA,0
WAIS,Digit Span,Backward,1,NA,NA,NA,2
WAIS,Digit Span,Backward,2,NA,NA,NA,2
WAIS,Digit Span,Backward,3,NA,NA,NA,2
WAIS,Digit Span,Backward,4,NA,NA,NA,2
WAIS,Digit Span,Backward,5,NA,NA,NA,1
WAIS,Digit Span,Backward,6,NA,NA,NA,0
WAIS,Digit Span,Sequencing,1,NA,NA,NA,2
WAIS,Digit Span,Sequencing,2,NA,NA,NA,2
WAIS,Digit Span,Sequencing,3,NA,NA,NA,2
WAIS,Digit Span,Sequencing,4,NA,NA,NA,2
WAIS,Digit Span,Sequencing,5,NA,NA,NA,2
WAIS,Digit Span,Sequencing,6,NA,NA,NA,1
WAIS,Digit Span,Sequencing,7,NA,NA,NA,0
WAIS,Letter-Number Sequencing,NA,1,NA,NA,NA,3
WAIS,Letter-Number Sequencing,NA,2,NA,NA,NA,3
WAIS,Letter-Number Sequencing,NA,3,NA,NA,NA,3
WAIS,Letter-Number Sequencing,NA,4,NA,NA,NA,3
WAIS,Letter-Number Sequencing,NA,5,NA,NA,NA,3
WAIS,Letter-Number Sequencing,NA,6,NA,NA,NA,1
WAIS,Letter-Number Sequencing,NA,7,NA,NA,NA,3
WAIS,Letter-Number Sequencing,NA,8,NA,NA,NA,1
WAIS,Letter-Number Sequencing,NA,9,NA,NA,NA,0
PALPA,1,NA,1,different,NA,no,1
PALPA,1,NA,2,different,NA,no,1
PALPA,1,NA,3,same,NA,yes,1
PALPA,1,NA,4,different,NA,no,1
PALPA,1,NA,5,same,NA,yes,1
PALPA,1,NA,6,different,NA,no,1
PALPA,1,NA,7,same,NA,yes,1
PALPA,1,NA,8,same,NA,yes,1
PALPA,1,NA,9,same,NA,yes,1
PALPA,1,NA,10,same,NA,yes,1
PALPA,1,NA,11,different,NA,no,1
PALPA,1,NA,12,different,NA,no,1
PALPA,1,NA,13,same,NA,yes,1
PALPA,1,NA,14,different,NA,no,1
PALPA,1,NA,15,different,NA,no,1
PALPA,1,NA,16,same,NA,yes,1
PALPA,1,NA,17,different,NA,no,1
PALPA,1,NA,18,different,NA,no,1
PALPA,1,NA,19,same,NA,yes,1
PALPA,1,NA,20,same,NA,yes,1
PALPA,1,NA,21,same,NA,yes,1
PALPA,1,NA,22,different,NA,no,1
PALPA,1,NA,23,same,NA,yes,1
PALPA,1,NA,24,different,NA,no,1
PALPA,1,NA,25,different,NA,no,1
PALPA,1,NA,26,same,NA,yes,1
PALPA,1,NA,27,different,NA,no,1
PALPA,1,NA,28,same,NA,yes,1
PALPA,1,NA,29,same,NA,yes,1
PALPA,1,NA,30,same,NA,yes,1
PALPA,1,NA,31,different,NA,no,1
PALPA,1,NA,32,different,NA,no,1
PALPA,1,NA,33,same,NA,yes,1
PALPA,1,NA,34,same,NA,yes,1
PALPA,1,NA,35,different,NA,no,1
PALPA,1,NA,36,different,NA,no,1
PALPA,1,NA,37,different,NA,no,1
PALPA,1,NA,38,same,NA,no,0
PALPA,1,NA,39,different,NA,no,1
PALPA,1,NA,40,same,NA,yes,1
PALPA,1,NA,41,same,NA,yes,1
